genus,RA,genus_lineage
ALISTIPES,0.40273509999999996,239759
BACTEROIDES,0.2008518999999999,816
PREVOTELLA,0.1345651,838
PARABACTEROIDES,0.09501109999999999,375288
BACTEROIDES,0.0456403,909656
BUTYRICIMONAS,0.0229437,574697
AKKERMANSIA,0.0211623999999999,239934
ODORIBACTER,0.0124516,283168
FAECALIBACTERIUM,0.0111253,216851
PHASCOLARCTOBACTERIUM,0.0102503,33024
RUTHENIBACTERIUM,0.0097863999999999,1905344
OSCILLIBACTER,0.0053214000000000004,459786
CLOSTRIDIUM,0.0050399,552397
EUBACTERIUM,0.0038632,2840493
RUMINOCOCCUS,0.0035857,2316020
FLAVONIFRACTOR,0.0035002,946234
DIALISTER,0.003138,39948
COLLINSELLA,0.0024544,102106
BACTEROIDES,0.0020539,538999
BIFIDOBACTERIUM,0.0016741999999999998,1678
STREPTOCOCCUS,0.0010821,1301
FIRMICUTES,0.0008371,47928
FUSICATENIBACTER,0.0006301,1407607
EUBACTERIUM,0.0002968,1730
ACIDAMINOCOCCUS,0.0,904
ROSEBURIA,0.0,841
COPROBACTER,0.0,1348911
INTESTINIMONAS,0.0,1392389
HAEMOPHILUS,0.0,724
GORDONIBACTER,0.0,644652
PARAPREVOTELLA,0.0,577309
BLAUTIA,0.0,572511
ESCHERICHIA,0.0,561
CLOSTRIDIUM,0.0,1485
PARASUTTERELLA,0.0,577310
AGATHOBACULUM,0.0,2048137
HOLDEMANELLA,0.0,1573535
GEMMIGER,0.0,204475
BARNESIELLA,0.0,397864
COPROCOCCUS,0.0,33042
VEILLONELLA,0.0,29465
OLSENELLA,0.0,2847313
RUMINOCOCCUS,0.0,1263
DOREA,0.0,189330
EUBACTERIUM,0.0,28050
EUBACTERIUM,0.0,2569097
TURICIBACTER,0.0,191303
ANAEROTIGNUM,0.0,2039240
MONOGLOBUS,0.0,2039302
LAWSONIBACTER,0.0,2172004
SUTTERELLA,0.0,40544
