Genus,RA
Bordetella,0.5649159456678026
Bacteroides,0.21321202865310998
Clostridium,0.14157331201543819
Escherichia,0.012707208757864966
Akkermansia,0.008104556148361813
Lachnoclostridium,0.0061709640655216525
Eubacterium,0.005950697539842538
Odoribacter,0.005827381176899113
Fermentimonas,0.0048625214861985145
Ruminiclostridium,0.0043819351528345705
Shigella,0.003882621920731531
Ruminococcus,0.0035501266293794485
Proteiniphilum,0.0035014526078691916
Lascolabacillus,0.003468746848456577
Pseudomonas,0.0029984523517934403
Paraburkholderia,0.0016848903794722209
Delftia,0.0016253409635100808
Achromobacter,0.001604996018279363
Erysipelothrix,0.0013397955457673469
Bifidobacterium,0.0013286283724399256
Alistipes,0.0006913567829119012
Cellulosilyticum,0.0005801625059794776
Sphingobium,0.0005360773704208687
Melaminivora,0.00038098363539608795
Herbaspirillum,0.0002939009037240587
Prevotella,0.00028254805293038564
Parabacteroides,0.0002428661258571734
Burkholderia,0.0002367918201755119
Mediterranea,0.0001807702760721534
Butyrivibrio,0.00017445724221959693
Xenophilus,0.00017382063376387695
Cupriavidus,0.00017204343515832531
Paraprevotella,0.0001705845407806337
Acidovorax,0.00015058442513009757
Paenarthrobacter,0.00012371424322824996
Orrella,0.0001176929882512318
Barnesiella,0.00011506697837138688
Kinetoplastibacterium,0.000110133262839557
Petrimonas,0.0001075603036643554
Tistrella,0.00010697674591327876
Coprobacter,0.00010395285574860884
Pusillimonas,9.846210781802399e-05
Hydrogenophaga,9.795812612391234e-05
Brachymonas,9.469550778834742e-05
Stenotrophomonas,9.321008805833413e-05
Comamonas,9.169814297599917e-05
Candidimonas,8.315697952842274e-05
Ideonella,7.51728484796013e-05
Alicycliphilus,5.429739620245019e-05
Luteimonas,5.175096237957026e-05
Thiobacillus,5.130003139010194e-05
Culturomica,4.9231053909011996e-05
Ralstonia,4.830266657775369e-05
Castellaniella,4.5437928527013767e-05
Herminiimonas,4.469521866200712e-05
Porphyromonas,4.143260032644221e-05
Advenella,4.015938341500224e-05
Riemerella,3.718854395497566e-05
Rikenella,3.525219323549404e-05
Prevotellamassilia,3.519914253085071e-05
Desnuesiella,3.397897632405407e-05
Kerstersia,3.3342367868334095e-05
Caballeronia,3.0689832636167496e-05
Halotalea,2.9416615724727532e-05
Alcaligenes,2.9390090372405866e-05
Sporomusa,2.9257463610797536e-05
Salmonella,2.8010772051679238e-05
Klebsiella,2.69497579588126e-05
Treponema,2.591526921826763e-05
Diaphorobacter,2.591526921826763e-05
Lampropedia,2.557043963808597e-05
Citrobacter,2.5358236819512643e-05
Caldicoprobacter,2.503993259165265e-05
Alkaliphilus,2.3634088918604357e-05
Coprococcus,2.2970955110562707e-05
Kluyvera,2.289137905359771e-05
Pantoea,2.1936466370017737e-05
Enterobacter,2.1565111437514413e-05
Taylorella,1.896562690999115e-05
Roseburia,1.583563533603457e-05
Thauera,1.4615469129237935e-05
Pseudoxanthomonas,1.4191063492091281e-05
Natronincola,1.3501404331727965e-05
Noviherbaspirillum,1.2334288829574665e-05
Basilea,1.151200290760302e-05
Pluralibacter,1.1485477555281353e-05
Lelliottia,1.034488740544972e-05
Tyzzerella,1.034488740544972e-05
Lysobacter,9.893956415981397e-06
Bacillus,9.787855006694733e-06
Curvibacter,9.522601483478074e-06
Gabonia,9.469550778834742e-06
Xylella,9.23082260793975e-06
Cronobacter,9.124721198653085e-06
Paenalcaligenes,8.169808515073111e-06
Butyricicoccus,8.169808515073111e-06
Azoarcus,7.798453582569788e-06
Thiomonas,7.639301468639792e-06
Kosakonia,7.6127761163181265e-06
Acinetobacter,7.1087944222064735e-06
Novosphingobium,7.0557437175631415e-06
Lactobacillus,6.419135261843159e-06
Alloprevotella,6.419135261843159e-06
Ottowia,6.313033852556495e-06
Azotobacter,6.1008310339831676e-06
Sanguibacteroides,5.915153567731506e-06
Candidatus Arthromitus,5.862102863088174e-06
Acetobacterium,5.862102863088174e-06
Clostridioides,5.6764253968365126e-06
Raoultella,5.649900044514847e-06
Obesumbacterium,5.517273282906517e-06
Trabulsiella,5.490747930584851e-06
Desulfovibrio,5.331595816654855e-06
Blautia,5.225494407368191e-06
Bariatricus,5.013291588794864e-06
Geosporobacter,4.9071901795082e-06
Caldanaerobacter,4.854139474864868e-06
Lamprocystis,4.801088770221536e-06
Thioalkalivibrio,4.721512713256538e-06
Azospira,4.641936656291541e-06
Pelistega,4.562360599326543e-06
Massilioclostridium,4.509309894683211e-06
Hungatella,4.482784542361545e-06
Thermomonas,4.137954962179888e-06
Shimwellia,4.111429609858222e-06
Steroidobacter,3.952277495928226e-06
Serratia,3.7666000296765642e-06
Butyricimonas,3.7135493250332323e-06
Oxobacter,3.6074479157465683e-06
Oligella,3.5013465064599048e-06
Pandoraea,3.5013465064599048e-06
Methyloglobulus,3.448295801816573e-06
Methylobacillus,3.448295801816573e-06
Fibrobacter,3.421770449494907e-06
Pseudobutyrivibrio,3.2360929832432453e-06
Tindallia,3.1299915739565813e-06
Rhodopseudomonas,3.1034662216349158e-06
Dorea,3.0769408693132498e-06
Yersinia,2.891263403061588e-06
Leclercia,2.864738050739922e-06
Erwinia,2.8116873460965903e-06
Brackiella,2.7321112891315923e-06
Yokenella,2.6790605844882603e-06
Massilia,2.546433822879931e-06
Aquabacterium,2.519908470558265e-06
Methanosarcina,2.440332413593267e-06
Parvibaculum,2.3342310043066033e-06
Peptoclostridium,2.2811802996632713e-06
Dechloromonas,2.2546549473416054e-06
Pedobacter,2.2016042426982734e-06
Lentimicrobium,2.1485535380549414e-06
Mobiluncus,2.1220281857332754e-06
Acetoanaerobium,2.1220281857332754e-06
Morganella,2.042452128768278e-06
Atlantibacter,1.96287607180328e-06
Crocosphaera,1.936350719481614e-06
Raphidiopsis,1.909825367159948e-06
Angelakisella,1.909825367159948e-06
Crenobacter,1.8302493101949501e-06
Anaerosporomusa,1.8037239578732842e-06
Cedecea,1.8037239578732842e-06
Chitinilyticum,1.8037239578732842e-06
Tumebacillus,1.8037239578732842e-06
Gottschalkia,1.7771986055516184e-06
Chlamydia,1.7506732532299524e-06
Bibersteinia,1.6710971962649546e-06
Nitrospira,1.6445718439432886e-06
Mangrovibacter,1.5915211392999567e-06
Dickeya,1.5915211392999567e-06
Alcanivorax,1.5649957869782907e-06
Spongiibacter,1.432369025369961e-06
Paenibacillus,1.4058436730482951e-06
Roseateles,1.4058436730482951e-06
Actinomyces,1.4058436730482951e-06
Gabonibacter,1.3793183207266292e-06
Paeniclostridium,1.3527929684049632e-06
Heliobacterium,1.3262676160832972e-06
Snodgrassella,1.3262676160832972e-06
Idiomarina,1.3262676160832972e-06
Macellibacteroides,1.2997422637616314e-06
Sutterella,1.2997422637616314e-06
Caloramator,1.2997422637616314e-06
Janthinobacterium,1.2732169114399654e-06
Methyloversatilis,1.2732169114399654e-06
Capnocytophaga,1.2732169114399654e-06
Oceanospirillum,1.2466915591182994e-06
Corynebacterium,1.1936408544749674e-06
Proteiniclasticum,1.1671155021533017e-06
Enhygromyxa,1.1671155021533017e-06
Limnobacter,1.1671155021533017e-06
Merdibacter,1.1671155021533017e-06
Varibaculum,1.1405901498316357e-06
Paraclostridium,1.1140647975099697e-06
Myroides,1.0875394451883037e-06
Acetivibrio,1.0875394451883037e-06
Faecalibacterium,1.0610140928666377e-06
Youngiibacter,1.0610140928666377e-06
Xenorhabdus,1.0610140928666377e-06
Oxalobacter,1.034488740544972e-06
Tepidimonas,1.034488740544972e-06
Verminephrobacter,1.007963388223306e-06
Variovorax,9.8143803590164e-07
Marinobacter,9.8143803590164e-07
Aromatoleum,9.54912683579974e-07
Thermobrachium,9.54912683579974e-07
Mucilaginibacter,9.283873312583081e-07
Providencia,9.283873312583081e-07
Siccibacter,9.018619789366421e-07
Nitrosospira,9.018619789366421e-07
Nitrosomonas,9.018619789366421e-07
Ventosimonas,8.753366266149762e-07
Franconibacter,8.753366266149762e-07
Polaromonas,8.753366266149762e-07
Chitiniphilus,8.488112742933102e-07
Derxia,8.222859219716443e-07
Falsirhodobacter,8.222859219716443e-07
Subdoligranulum,8.222859219716443e-07
Veillonella,8.222859219716443e-07
Intestinibacter,8.222859219716443e-07
Faecalitalea,7.957605696499783e-07
Chromobacterium,7.692352173283124e-07
Denitrobacterium,7.692352173283124e-07
Methylophaga,7.692352173283124e-07
Traorella,7.692352173283124e-07
Desulfotomaculum,7.692352173283124e-07
Rhodoferax,7.427098650066465e-07
Pyramidobacter,7.427098650066465e-07
Robinsoniella,7.427098650066465e-07
Lautropia,7.161845126849805e-07
Brevundimonas,7.161845126849805e-07
Tepidanaerobacter,7.161845126849805e-07
Congregibacter,7.161845126849805e-07
Amantichitinum,7.161845126849805e-07
Dysgonomonas,6.896591603633146e-07
Peptoniphilus,6.896591603633146e-07
Sulfuritalea,6.896591603633146e-07
Hespellia,6.631338080416486e-07
Chitinimonas,6.366084557199827e-07
Anaerostipes,6.366084557199827e-07
Tepidibacter,6.100831033983167e-07
Pseudorhodoferax,6.100831033983167e-07
Urmitella,6.100831033983167e-07
Sodalis,6.100831033983167e-07
Streptococcus,6.100831033983167e-07
Carboxydothermus,6.100831033983167e-07
Mitsuokella,6.100831033983167e-07
Actinopolyspora,6.100831033983167e-07
Actinophytocola,6.100831033983167e-07
Rhizobacter,5.835577510766508e-07
Haemophilus,5.835577510766508e-07
Edwardsiella,5.835577510766508e-07
Faecalicoccus,5.835577510766508e-07
Neisseria,5.570323987549848e-07
Mitsuaria,5.570323987549848e-07
Anaerocolumna,5.570323987549848e-07
Thermoactinomyces,5.570323987549848e-07
Emergencia,5.570323987549848e-07
Lutispora,5.570323987549848e-07
Rugosibacter,5.305070464333189e-07
Knoellia,5.305070464333189e-07
Polynucleobacter,5.305070464333189e-07
Tepidiphilus,5.03981694111653e-07
Anaerosporobacter,5.03981694111653e-07
Parasutterella,5.03981694111653e-07
Rahnella,5.03981694111653e-07
Thermophagus,5.03981694111653e-07
Lachnobacterium,5.03981694111653e-07
Selenomonas,5.03981694111653e-07
Campylobacter,5.03981694111653e-07
