genus,RA
Bordetella,0.5548880513412472
Bacteroides,0.1424265427185195
Clostridium,0.11426222855570123
Achromobacter,0.11204825586461685
Roseburia,0.05146707998862548
Ruminiclostridium,0.006838128016491081
Parabacteroides,0.004435445008355206
Desulfovibrio,0.002632498542762946
Eubacterium,0.0009504024548534181
Blautia,0.0007989826666252155
Lachnoclostridium,0.0007607838785751873
Faecalibacterium,0.0006435146372721456
Fusicatenibacter,0.0005619529587115216
Butyrivibrio,0.0005584756233863153
Dorea,0.0004408171281289595
Alistipes,0.0004300737189898891
Ruminococcus,0.0004135174507997274
Prevotella,0.0003902400643317415
Tyzzerella,0.0003482784880566766
Coprococcus,0.00032863413849562275
Angelakisella,0.00022182285343182116
Emergencia,0.0002121953056284513
Coprobacter,0.00015780355307895466
Oscillibacter,0.00015069318084681626
Faecalitalea,0.0001455809789134905
Anaerostipes,0.00014254479806984015
Butyricicoccus,0.0001309969307585205
Treponema,0.00012103202952807836
Odoribacter,0.00011488181704991487
Barnesiella,0.00011475206573181015
Lactonifactor,0.00011031457065262888
Acetivibrio,0.00010873160457175136
Kinetoplastibacterium,0.00010364535290204652
Phascolarctobacterium,0.00010304849683876484
Erysipelatoclostridium,9.925975835010715e-05
Subdoligranulum,9.850720070509981e-05
Ruthenibacterium,8.467571019513715e-05
Orrella,7.964135905267421e-05
Pusillimonas,7.800649244455479e-05
Desnuesiella,7.162272759380281e-05
Intestinimonas,7.03511646763766e-05
Culturomica,6.386359877114083e-05
Paraprevotella,6.274773743544028e-05
Rikenella,5.7194381020558476e-05
Porphyromonas,5.649372390279301e-05
Sporomusa,5.099226801515308e-05
Riemerella,4.987640667945253e-05
Hungatella,4.855294323478444e-05
Pseudobutyrivibrio,4.699592741752786e-05
Bittarella,4.385594551939375e-05
Allobaculum,4.286983550179791e-05
Advenella,4.1961576275064906e-05
Solobacterium,4.149447152988793e-05
Enterococcus,4.102736678471095e-05
Anaerotruncus,4.045646098505021e-05
Fournierella,3.95482017583172e-05
Castellaniella,3.555186116069197e-05
Paraburkholderia,3.337203901653276e-05
Candidimonas,3.308658611670238e-05
Mediterranea,3.2152376626348435e-05
Selenomonas,3.127006766323637e-05
Bifidobacterium,3.0984614763405994e-05
Prevotellamassilia,3.0880813708922226e-05
Lachnoanaerobaculum,3.033585817288242e-05
Stomatobaculum,3.025800738201959e-05
Butyricimonas,2.963520105511696e-05
Kerstersia,2.903834499183527e-05
Alcaligenes,2.828578734682792e-05
Veillonella,2.810413550148132e-05
Holdemania,2.7118025483885483e-05
Streptococcus,2.4133745167477034e-05
Traorella,2.1927972759696875e-05
Johnsonella,2.14608680145199e-05
Megasphaera,1.9800051142779543e-05
Knoellia,1.935889666122351e-05
Taylorella,1.8268985589143903e-05
Peptoniphilus,1.803543321655542e-05
Lachnobacterium,1.7412626889652783e-05
Neglecta,1.728287557154807e-05
Pseudoflavonifractor,1.6141063972226574e-05
Campylobacter,1.5388506327219226e-05
Caldicoprobacter,1.5388506327219226e-05
Staphylococcus,1.440239630962339e-05
Oribacterium,1.388339103720453e-05
Bariatricus,1.3234634446680953e-05
Cupriavidus,1.2767529701503978e-05
Fibrobacter,1.2715629174262092e-05
Candidatus Arthromitus,1.2326375219947947e-05
Roseivivax,1.1859270474770972e-05
Basilea,1.1807369947529087e-05
Tepidanaerobacter,1.1599767838561542e-05
Mobiluncus,1.1236464147868339e-05
Massilioclostridium,1.1210513884247395e-05
Lactobacillus,1.048390650286099e-05
Youngiibacter,1.0380105448377219e-05
Gallibacterium,1.022440386665156e-05
Burkholderia,9.809199648716471e-06
Azoarcus,9.7053985942327e-06
Merdibacter,9.679448330611756e-06
Paenalcaligenes,9.004741476467237e-06
Phocea,8.77118910387875e-06
Hespellia,8.615487522153091e-06
