genus,SRR17380242,tax_id
AKKERMANSIA,0.0493927,239934
ANAEROSTIPES,0.0646896,207244
BACILLUS,0.043821900000000004,1386
BACTEROIDES,0.0594181,816
BIFIDOBACTERIUM,0.1061857,1678
BLAUTIA,0.1313284,572511
COLLINSELLA,0.0481515,102106
CUTIBACTERIUM,0.059989600000000004,1912216
ESCHERICHIA,0.0724265,561
FLAVONIFRACTOR,0.0396421,946234
LACHNOCLOSTRIDIUM,0.064498,1506553
LACTOBACILLUS,0.0430807,1578
MEGAMONAS,0.013080000000000001,158846
MEGASPHAERA,0.0101854,906
PARABACTEROIDES,0.06276620000000001,375288
PSEUDOMONAS,0.0064852,286
STAPHYLOCOCCUS,0.0503418,1279
STREPTOCOCCUS,0.0745163,1301
