species,SRR11487937
Aeromonas jandaei,0.0
Akkermansia muciniphila,4.9211
Aliidongia dinghuensis,0.0003
Alistipes Unclassified AF14 19,0.0
Alistipes Unclassified HGB5,0.0
Alistipes finegoldii,5.1826
Alistipes onderdonkii,0.0
Alistipes shahii,0.0
Anaerobutyricum hallii,3.4982
Anaerobutyricum soehngenii,0.0
Anaeromassilibacillus Unclassified An200,0.0
Anaerostipes Unclassified Marseille Q3525,0.0024
Anaerostipes hadrus,3.1635
Anaerotruncus rubiinfantis,0.0429
Anaplasma phagocytophilum,0.0
Arcobacter ellisii,0.0
Aspergillus fumigatus,0.0006
Atlantibacter hermannii,0.0
Bacteroides Unclassified 224,0.0016
Bacteroides Unclassified 3 1 19,0.0
Bacteroides Unclassified 4 1 36,0.0036
Bacteroides Unclassified 51,0.0
Bacteroides Unclassified AF29 11,0.006
Bacteroides Unclassified AF32 8BH,0.0
Bacteroides Unclassified AM32 11AC,0.0209
Bacteroides Unclassified AR29,0.0017
Bacteroides Unclassified CBA7301,0.0
Bacteroides Unclassified HMSC067B03,0.0
Bacteroides Unclassified KGMB07931,0.0082
Bacteroides Unclassified L10 4,0.0157
Bacteroides Unclassified Marseille P8574,0.0079
Bacteroides Unclassified NM69 E16B,0.0138
Bacteroides acidifaciens,0.0043
Bacteroides bouchesdurhonensis,0.0031
Bacteroides caccae,0.0013
Bacteroides caecigallinarum,0.0002
Bacteroides caecimuris,0.0029
Bacteroides cellulosilyticus,0.0046
Bacteroides clarus,0.0
Bacteroides eggerthii,0.0544
Bacteroides faecalis,0.0223
Bacteroides faecichinchillae,0.0
Bacteroides faecis,0.0111
Bacteroides fluxus,0.0
Bacteroides fragilis,0.0007
Bacteroides graminisolvens,0.0
Bacteroides heparinolyticus,0.0097
Bacteroides luti,0.0
Bacteroides neonati,0.0
Bacteroides oleiciplenus,0.0043
Bacteroides ovatus,0.0182
Bacteroides pyogenes,0.0
Bacteroides reticulotermitis,0.0002
Bacteroides rodentium,0.0467
Bacteroides salyersiae,0.0
Bacteroides stercoris,0.029
Bacteroides thetaiotaomicron,5.9265
Bacteroides uniformis,2.205
Bacteroides xylanisolvens,0.0049
Bacteroides zoogleoformans,0.0
Bifidobacterium breve,0.0011
Bifidobacterium longum,17.4566
Blautia Unclassified 1001283B150304 161114 C9,0.0
Blautia Unclassified AF19 10LB,0.0019
Blautia Unclassified An249,0.0
Blautia Unclassified KLE 1732,0.003
Blautia Unclassified M29,0.0006
Blautia Unclassified MSJ 9,0.0034
Blautia Unclassified Marseille P3201T,0.003
Blautia glucerasea,0.0096
Blautia hansenii,0.0008
Blautia luti,0.0008
Blautia obeum,0.0229
Blautia producta,0.0038
Blautia wexlerae,4.2597
Butyricicoccus pullicaecorum,0.0024
Campylobacter coli,0.0
Citrobacter amalonaticus,0.0
Citrobacter freundii,0.0
Cladonia macilenta,0.0028
Clostridioides difficile,0.0
Clostridium Unclassified 3 3,0.0006
Clostridium Unclassified AF23 6LB,0.0017
Clostridium Unclassified AF36 18BH,0.0002
Clostridium Unclassified AM45 5,0.0005
Clostridium Unclassified Ade TY,0.0002
Clostridium Unclassified C2 6 12,0.0017
Clostridium Unclassified C5S11,0.0
Clostridium Unclassified D43t1 170807 H7,0.0
Clostridium Unclassified D53t1 180928 C8,0.0
Clostridium Unclassified DSM 8431,0.0
Clostridium Unclassified IBUN13A,0.0
Clostridium Unclassified LS,0.0006
Clostridium Unclassified NSJ 6,0.0004
Clostridium Unclassified SM 530 WT 3G,0.0036
Clostridium Unclassified YIM B02505,0.0
Clostridium aciditolerans,0.0004
Clostridium baratii,0.0005
Clostridium beijerinckii,0.0
Clostridium botulinum,0.0
Clostridium butyricum,0.5435
Clostridium chauvoei,0.0
Clostridium chromiireducens,0.0
Clostridium frigidicarnis,0.0
Clostridium gasigenes,0.0
Clostridium hydrogeniformans,0.0004
Clostridium moniliforme,0.001
Clostridium nigeriense,0.0
Clostridium paraputrificum,0.0007
Clostridium perfringens,0.0
Clostridium polyendosporum,0.0
Clostridium puniceum,0.0013
Clostridium saccharobutylicum,0.0033
Clostridium saccharoperbutylacetonicum,0.0
Clostridium sardiniense,0.0013
Clostridium sporogenes,0.0
Clostridium taeniosporum,0.0
Clostridium thermobutyricum,0.0
Clostridium tyrobutyricum,0.0003
Collinsella aerofaciens,5.1311
Coprococcus Unclassified ART55 1,0.0052
Coprococcus comes,0.0003
Coprococcus eutactus,0.0
Dorea Unclassified AM58 8,0.0041
Dorea Unclassified D27,0.0007
Dorea formicigenerans,0.0003
Dorea longicatena,0.001
Dysosmobacter Unclassified BX15,0.0
Enterobacter cloacae,0.0
Enterobacter roggenkampii,0.0
Enterocloster bolteae,0.0
Enterocloster clostridioformis,0.0033
Enterococcus faecium,0.0176
Enterococcus gallinarum,0.0
Escherichia Unclassified B1147,0.0
Escherichia Unclassified MOD1 EC5990,0.0
Escherichia Unclassified MOD1 EC7003,0.0
Escherichia albertii,0.0021
Escherichia coli,4.5213
Escherichia fergusonii,0.0
Eubacterium Unclassified AM46 8,0.0
Eubacterium ramulus,0.0003
Eubacterium ventriosum,0.0009
Faecalibacterium Unclassified CLA AA H254,0.0
Faecalibacterium prausnitzii,3.4612
Faecalicatena fissicatena,0.0
Flavobacterium salilacus,0.0002
Fusicatenibacter saccharivorans,0.0
Herbaspirillum Unclassified VT 16 41,0.0002
Holdemanella biformis,0.0011
Intestinirhabdus alba,0.0
Klebsiella aerogenes,0.0
Klebsiella pneumoniae,0.0198
Lachnoanaerobaculum Unclassified OBRC5 5,0.0037
Lachnoclostridium Unclassified An138,0.0
Lachnospira pectinoschiza,0.0034
Lacrimispora amygdalina,0.001
Lactobacillus acetotolerans,0.0
Lactobacillus amylolyticus,0.0025
Lactobacillus colini,0.0013
Lactobacillus crispatus,0.0089
Lactobacillus gasseri,0.4955
Lactobacillus helveticus,0.0
Lactobacillus hominis,0.0046
Lactobacillus johnsonii,0.1535
Lactobacillus paragasseri,1.4308
Lactobacillus rodentium,0.0037
Lactobacillus taiwanensis,0.1056
Ligilactobacillus salivarius,0.0
Listeria monocytogenes,0.0
Massiliimalia timonensis,0.0029
Massospora platypediae,0.0
Mycolicibacterium malmesburyense,0.0
Novisyntrophococcus fermenticellae,0.0
Odoribacter laneus,0.0
Parabacteroides Unclassified 20 3,0.0046
Parabacteroides Unclassified 52,0.0
Parabacteroides Unclassified AF39 10AC,0.0
Parabacteroides Unclassified AM17 47,0.0
Parabacteroides Unclassified CT06,0.0
Parabacteroides Unclassified D26,0.0002
Parabacteroides Unclassified ZJ 118,0.0367
Parabacteroides acidifaciens,0.0205
Parabacteroides distasonis,4.644
Parabacteroides johnsonii,0.0036
Parabacteroides merdae,0.0
Paraclostridium benzoelyticum,0.0
Phocaeicola massiliensis,0.003
Phocaeicola plebeius,0.0049
Phocaeicola vulgatus,0.0181
Prevotella copri,4.3084
Prevotella melaninogenica,7.5093
Prosthecobacter debontii,0.0
Pseudoflavonifractor Unclassified An176,0.0
Roseburia Unclassified 1XD42 69,0.0076
Roseburia Unclassified AM23 20,0.0
Roseburia Unclassified CLA AA H209,0.0
Roseburia Unclassified OM04 10AA,0.0
Roseburia faecis,0.0187
Roseburia hominis,4.496
Roseburia intestinalis,3.8508
Roseburia inulinivorans,0.0208
Ruminococcus Unclassified 1001095IJ 161003 G2,0.0005
Ruminococcus Unclassified 1001713B170214 170313 A12,0.0007
Ruminococcus Unclassified 5 1 39BFAA,0.0003
Ruminococcus Unclassified AF14 5,0.0007
Ruminococcus Unclassified AF21 42,0.0
Ruminococcus Unclassified AF37 6AT,0.0
Ruminococcus Unclassified AF41 9,0.0177
Ruminococcus Unclassified AM12 48,0.0
Ruminococcus Unclassified AM26 12LB,0.002
Ruminococcus Unclassified AM29 12LB,0.0
Ruminococcus Unclassified AM32 17LB,0.0048
Ruminococcus Unclassified AM34 9LB,0.002
Ruminococcus Unclassified AM40 10AC,0.0094
Ruminococcus Unclassified OF03 6AA,0.0019
Ruminococcus Unclassified OM02 16LB,0.0038
Ruminococcus bicirculans,0.0
Ruminococcus gauvreauii,4.673
Ruminococcus gnavus,0.0097
Ruminococcus lactaris,0.001
Ruminococcus torques,0.0
Ruthenibacterium lactatiformans,0.0057
Salinicoccus cyprini,0.0005
Salmonella enterica,0.0131
Saturnispora mendoncae,0.0
Schaalia georgiae,0.0
Shigella boydii,0.0
Shigella dysenteriae,0.0
Shigella flexneri,0.0186
Shigella sonnei,0.0057
Staphylococcus aureus,0.0
Staphylococcus cohnii,0.0
Staphylococcus epidermidis,0.0001
Streptococcus pneumoniae,0.0001
Streptomyces mutabilis,0.0
Trabulsiella odontotermitis,0.0117
