genus,SRR11487940
Aeromonas,0.0
Akkermansia,5.0177
Aliidongia,0.0
Alistipes,5.4376
Anaerobutyricum,3.3632
Anaeromassilibacillus,0.0
Anaerostipes,3.2283999999999997
Anaerotruncus,0.0431
Anaplasma,0.0
Arcobacter,0.0
Aspergillus,0.0
Atlantibacter,0.0042
Bacteroides,10.6853
Bifidobacterium,17.813299999999998
Blautia,4.6025
Butyricicoccus,0.0
Butyrivibrio,0.0055
Campylobacter,0.0001
Citrobacter,0.0
Cladonia,0.0
Clostridioides,0.0092
Clostridium,0.8765
Collinsella,5.2908
Coprococcus,0.0073
Dorea,0.0126
Dysosmobacter,0.0
Enterobacter,0.0
Enterocloster,0.0
Enterococcus,0.0159
Escherichia,5.1733
Eubacterium,0.0005
Faecalibacterium,3.625
Faecalicatena,0.0
Flavobacterium,0.0
Fusicatenibacter,0.0
Herbaspirillum,0.0
Holdemanella,0.0009
Hungatella,0.0
Intestinirhabdus,0.0
Klebsiella,0.0024999999999999996
Kluyvera,0.0
Lachnoanaerobaculum,0.0022
Lachnoclostridium,0.0
Lachnospira,0.001
Lacrimispora,0.0
Lactobacillus,3.242
Ligilactobacillus,0.0034
Listeria,0.0
Massiliimalia,0.0041
Massospora,0.0
Mycolicibacterium,0.0003
Novisyntrophococcus,0.0052
Odoribacter,0.0
Parabacteroides,5.0055
Paraclostridium,0.004
Phocaeicola,0.0164
Prevotella,11.7136
Prosthecobacter,0.0
Pseudoflavonifractor,0.0112
Raoultella,0.0
Roseburia,8.5982
Ruminococcus,4.5735
Ruthenibacterium,0.0016
Salinicoccus,0.0018
Salmonella,0.0
Saturnispora,0.0
Schaalia,0.0
Shigella,0.0198
Staphylococcus,0.0001
Streptococcus,0.0
Streptomyces,0.0
Trabulsiella,0.0
