species,SRR11487940
Aeromonas jandaei,0.0
Akkermansia muciniphila,0.05017725088625443
Aliidongia dinghuensis,0.0
Alistipes Unclassified AF14 19,0.0
Alistipes Unclassified HGB5,5.0000250001250005e-06
Alistipes finegoldii,0.0530242651213256
Alistipes onderdonkii,0.0
Alistipes shahii,0.0
Anaerobutyricum soehngenii,0.0
Anaeromassilibacillus Unclassified An200,0.0
Anaerostipes Unclassified Marseille Q3525,0.0
Anaerostipes hadrus,0.03225116125580628
Anaerotruncus rubiinfantis,0.00043100215501077504
Anaplasma phagocytophilum,0.0
Arcobacter ellisii,0.0
Aspergillus fumigatus,0.0
Atlantibacter hermannii,4.200021000105001e-05
Bacteroides Unclassified 224,2.8000140000700004e-05
Bacteroides Unclassified 3 1 19,0.0
Bacteroides Unclassified 4 1 36,7.000035000175001e-06
Bacteroides Unclassified 51,0.0
Bacteroides Unclassified AF29 11,0.0
Bacteroides Unclassified AF32 8BH,0.000145000725003625
Bacteroides Unclassified AM32 11AC,0.000267001335006675
Bacteroides Unclassified AR29,2.2000110000550003e-05
Bacteroides Unclassified CBA7301,0.0
Bacteroides Unclassified HMSC067B03,0.0
Bacteroides Unclassified KGMB07931,0.000129000645003225
Bacteroides Unclassified L10 4,0.0
Bacteroides Unclassified Marseille P8574,5.5000275001375006e-05
Bacteroides Unclassified NM69 E16B,0.00023100115500577503
Bacteroides acidifaciens,0.0
Bacteroides bouchesdurhonensis,0.00014000070000350003
Bacteroides caccae,0.0
Bacteroides caecigallinarum,0.0
Bacteroides caecimuris,3.0000150000750005e-05
Bacteroides cellulosilyticus,4.1000205001025006e-05
Bacteroides clarus,0.0
Bacteroides eggerthii,6.000030000150001e-06
Bacteroides faecalis,5.000025000125e-05
Bacteroides faecichinchillae,0.0
Bacteroides faecis,6.000030000150001e-06
Bacteroides fluxus,5.1000255001275005e-05
Bacteroides fragilis,0.0
Bacteroides graminisolvens,0.0
Bacteroides heparinolyticus,6.900034500172501e-05
Bacteroides luti,5.0000250001250005e-06
Bacteroides neonati,0.0
Bacteroides oleiciplenus,0.0
Bacteroides ovatus,0.00015300076500382502
Bacteroides pyogenes,3.0000150000750004e-06
Bacteroides reticulotermitis,3.0000150000750004e-06
Bacteroides rodentium,0.00041000205001025003
Bacteroides salyersiae,2.4000120000600003e-05
Bacteroides stercoris,0.00019300096500482502
Bacteroides thetaiotaomicron,0.059353296766483835
Bacteroides uniformis,0.023265116325581627
Bacteroides xylanisolvens,0.00021600108000540002
Bacteroides zoogleoformans,0.0
Bifidobacterium breve,0.0
Bifidobacterium longum,0.1777328886644433
Blautia Unclassified 1001283B150304 161114 C9,0.0
Blautia Unclassified AF19 10LB,0.0
Blautia Unclassified An249,6.900034500172501e-05
Blautia Unclassified KLE 1732,7.800039000195e-05
Blautia Unclassified M29,8.0000400002e-06
Blautia Unclassified MSJ 9,0.00014900074500372501
