genus,SRR11487938
Aeromonas,0.0
Akkermansia,5.059
Aliidongia,0.0
Alistipes,5.42
Anaerobutyricum,3.3296
Anaeromassilibacillus,0.0
Anaerostipes,3.1378
Anaerotruncus,0.0471
Anaplasma,0.0001
Arcobacter,0.0003
Aspergillus,0.0
Atlantibacter,0.0
Bacteroides,10.777800000000001
Bifidobacterium,17.7389
Blautia,4.5142999999999995
Butyricicoccus,0.0
Butyrivibrio,0.0055
Campylobacter,0.0
Citrobacter,0.0058
Cladonia,0.0
Clostridioides,0.0006
Clostridium,0.8251000000000001
Collinsella,5.2558
Coprococcus,0.0097
Dorea,0.0501
Dysosmobacter,0.0
Enterobacter,0.0
Enterocloster,0.0
Enterococcus,0.0433
Escherichia,5.3438
Eubacterium,0.0008
Faecalibacterium,3.5715
Faecalicatena,0.0006
Flavobacterium,0.0
Fusicatenibacter,0.0
Herbaspirillum,0.0
Holdemanella,0.0
Hungatella,0.0035
Intestinirhabdus,0.0
Klebsiella,0.0224
Kluyvera,0.0
Lachnoanaerobaculum,0.0005
Lachnoclostridium,0.0
Lachnospira,0.0009
Lacrimispora,0.0011
Lactobacillus,3.2252
Ligilactobacillus,0.0
Listeria,0.0
Massiliimalia,0.0023
Massospora,0.0
Mycolicibacterium,0.0001
Novisyntrophococcus,0.0
Odoribacter,0.0
Parabacteroides,5.0025
Paraclostridium,0.0
Phocaeicola,0.026000000000000002
Prevotella,11.7442
Prosthecobacter,0.0
Pseudoflavonifractor,0.005
Raoultella,0.0
Roseburia,8.5435
Ruminococcus,4.6441
Ruthenibacterium,0.0055
Salinicoccus,0.0045
Salmonella,0.0
Saturnispora,0.0
Schaalia,0.0
Shigella,0.0317
Staphylococcus,0.0001
Streptococcus,0.0
Streptomyces,0.0002
Trabulsiella,0.0
