species,SRR11487939
Aeromonas jandaei,0.0152
Akkermansia muciniphila,4.8901
Aliidongia dinghuensis,0.0
Alistipes Unclassified AF14 19,0.0269
Alistipes Unclassified HGB5,0.0
Alistipes finegoldii,5.0507
Alistipes onderdonkii,0.0242
Alistipes shahii,0.0
Anaerobutyricum hallii,3.3749
Anaerobutyricum soehngenii,0.0002
Anaeromassilibacillus Unclassified An200,0.0
Anaerostipes Unclassified Marseille Q3525,0.0
Anaerostipes hadrus,3.123
Anaerotruncus rubiinfantis,0.0
Anaplasma phagocytophilum,0.0
Arcobacter ellisii,0.0
Aspergillus fumigatus,0.0
Atlantibacter hermannii,0.0
Bacteroides Unclassified 224,0.0012
Bacteroides Unclassified 3 1 19,0.0025
Bacteroides Unclassified 4 1 36,0.0
Bacteroides Unclassified 51,0.0101
Bacteroides Unclassified AF29 11,0.0096
Bacteroides Unclassified AF32 8BH,0.0
Bacteroides Unclassified AM32 11AC,0.0088
Bacteroides Unclassified AR29,0.0059
Bacteroides Unclassified CBA7301,0.0032
Bacteroides Unclassified HMSC067B03,0.0
Bacteroides Unclassified KGMB07931,0.0023
Bacteroides Unclassified L10 4,0.0079
Bacteroides Unclassified Marseille P8574,0.003
Bacteroides Unclassified NM69 E16B,0.0074
Bacteroides acidifaciens,0.0004
Bacteroides bouchesdurhonensis,0.0
Bacteroides caccae,0.0
Bacteroides caecigallinarum,0.0
Bacteroides caecimuris,0.0
Bacteroides cellulosilyticus,0.0046
Bacteroides clarus,0.0022
Bacteroides eggerthii,0.0617
Bacteroides faecalis,0.0089
Bacteroides faecichinchillae,0.0008
Bacteroides faecis,0.0169
Bacteroides fluxus,0.0041
Bacteroides fragilis,0.0
Bacteroides graminisolvens,0.0012
Bacteroides heparinolyticus,0.0019
Bacteroides luti,0.0
Bacteroides neonati,0.0
Bacteroides oleiciplenus,0.0
Bacteroides ovatus,0.009
Bacteroides pyogenes,0.0
Bacteroides reticulotermitis,0.0002
Bacteroides rodentium,0.0402
Bacteroides salyersiae,0.0
Bacteroides stercoris,0.0121
Bacteroides thetaiotaomicron,5.2127
Bacteroides uniformis,1.6212
Bacteroides xylanisolvens,0.0078
Bacteroides zoogleoformans,0.0021
Bifidobacterium breve,0.0
Bifidobacterium longum,17.9535
Blautia Unclassified 1001283B150304 161114 C9,0.0018
Blautia Unclassified AF19 10LB,0.0015
Blautia Unclassified An249,0.0
Blautia Unclassified KLE 1732,0.001
Blautia Unclassified M29,0.0023
Blautia Unclassified MSJ 9,0.0085
Blautia Unclassified Marseille P3201T,0.0
Blautia glucerasea,0.0074
Blautia hansenii,0.0
Blautia luti,0.0057
Blautia obeum,0.0153
Blautia producta,0.011
Blautia wexlerae,4.0498
Butyricicoccus pullicaecorum,0.0019
Campylobacter coli,0.0023
Citrobacter amalonaticus,0.0002
Citrobacter freundii,0.0
Cladonia macilenta,0.0
Clostridioides difficile,0.0003
Clostridium Unclassified 3 3,0.0
Clostridium Unclassified AF23 6LB,0.0004
Clostridium Unclassified AF36 18BH,0.0493
Clostridium Unclassified AM45 5,0.0
Clostridium Unclassified Ade TY,0.0
Clostridium Unclassified C2 6 12,0.0007
Clostridium Unclassified C5S11,0.0
Clostridium Unclassified D43t1 170807 H7,0.0
Clostridium Unclassified D53t1 180928 C8,0.0
Clostridium Unclassified DSM 8431,0.0
Clostridium Unclassified IBUN13A,0.0
Clostridium Unclassified LS,0.0
Clostridium Unclassified NSJ 6,0.0
Clostridium Unclassified SM 530 WT 3G,0.0049
Clostridium Unclassified YIM B02505,0.0004
Clostridium aciditolerans,0.0
Clostridium baratii,0.0003
Clostridium beijerinckii,0.0003
Clostridium botulinum,0.0002
Clostridium butyricum,0.3793
Clostridium chauvoei,0.0011
Clostridium chromiireducens,0.0
Clostridium frigidicarnis,0.0
Clostridium gasigenes,0.0
Clostridium hydrogeniformans,0.0002
Clostridium moniliforme,0.0
Clostridium nigeriense,0.0
Clostridium paraputrificum,0.0
Clostridium perfringens,0.0008
Clostridium polyendosporum,0.0
Clostridium puniceum,0.0
Clostridium saccharobutylicum,0.0034
Clostridium saccharoperbutylacetonicum,0.0
Clostridium sardiniense,0.0014
Clostridium sporogenes,0.0
Clostridium taeniosporum,0.0
Clostridium thermobutyricum,0.0002
Clostridium tyrobutyricum,0.0
Collinsella aerofaciens,5.2792
Coprococcus Unclassified ART55 1,0.0043
Coprococcus comes,0.0009
Coprococcus eutactus,0.005
Dorea Unclassified AM58 8,0.0098
Dorea Unclassified D27,0.001
Dorea formicigenerans,0.0017
Dorea longicatena,0.0103
Dysosmobacter Unclassified BX15,0.0066
Enterobacter cloacae,0.0
Enterobacter roggenkampii,0.015
Enterocloster bolteae,0.0064
Enterocloster clostridioformis,0.0
Enterococcus faecium,0.0438
Enterococcus gallinarum,0.0
Escherichia Unclassified B1147,0.0
Escherichia Unclassified MOD1 EC5990,0.0306
Escherichia Unclassified MOD1 EC7003,0.0
Escherichia albertii,0.0025
Escherichia coli,3.8785
Escherichia fergusonii,0.0074
Eubacterium Unclassified AM46 8,0.0
Eubacterium ramulus,0.0
Eubacterium ventriosum,0.0
Faecalibacterium Unclassified CLA AA H254,0.0
Faecalibacterium prausnitzii,3.5123
Faecalicatena fissicatena,0.0
Flavobacterium salilacus,0.0
Fusicatenibacter saccharivorans,0.0014
Herbaspirillum Unclassified VT 16 41,0.0
Holdemanella biformis,0.0
Intestinirhabdus alba,0.0063
Klebsiella aerogenes,0.0123
Klebsiella pneumoniae,0.0057
Lachnoanaerobaculum Unclassified OBRC5 5,0.0042
Lachnoclostridium Unclassified An138,0.0
Lachnospira pectinoschiza,0.0
Lacrimispora amygdalina,0.004
Lactobacillus acetotolerans,0.0054
Lactobacillus amylolyticus,0.0023
Lactobacillus colini,0.0
Lactobacillus crispatus,0.0008
Lactobacillus gasseri,0.3664
Lactobacillus helveticus,0.0
Lactobacillus hominis,0.0022
Lactobacillus johnsonii,0.0928
Lactobacillus paragasseri,1.2434
Lactobacillus rodentium,0.0025
Lactobacillus taiwanensis,0.0531
Ligilactobacillus salivarius,0.0
Listeria monocytogenes,0.0004
Massiliimalia timonensis,0.0011
Massospora platypediae,0.0008
Mycolicibacterium malmesburyense,0.0
Novisyntrophococcus fermenticellae,0.0068
Odoribacter laneus,0.0008
Parabacteroides Unclassified 20 3,0.0
Parabacteroides Unclassified 52,0.0137
Parabacteroides Unclassified AF39 10AC,0.0017
Parabacteroides Unclassified AM17 47,0.0007
Parabacteroides Unclassified CT06,0.0
Parabacteroides Unclassified D26,0.0
Parabacteroides Unclassified ZJ 118,0.0333
Parabacteroides acidifaciens,0.0
Parabacteroides distasonis,3.9242
Parabacteroides johnsonii,0.0031
Parabacteroides merdae,0.0002
Paraclostridium benzoelyticum,0.0126
Phocaeicola massiliensis,0.0
Phocaeicola plebeius,0.0019
Phocaeicola vulgatus,0.0051
Prevotella copri,4.3914
Prevotella melaninogenica,7.3848
Prosthecobacter debontii,0.006
Pseudoflavonifractor Unclassified An176,0.0
Roseburia Unclassified 1XD42 69,0.001
Roseburia Unclassified AM23 20,0.0005
Roseburia Unclassified CLA AA H209,0.0013
Roseburia Unclassified OM04 10AA,0.0
Roseburia faecis,0.0127
Roseburia hominis,4.6342
Roseburia intestinalis,3.8575
Roseburia inulinivorans,0.0124
Ruminococcus Unclassified 1001095IJ 161003 G2,0.0006
Ruminococcus Unclassified 1001713B170214 170313 A12,0.0008
Ruminococcus Unclassified 5 1 39BFAA,0.0027
Ruminococcus Unclassified AF14 5,0.0004
Ruminococcus Unclassified AF21 42,0.001
Ruminococcus Unclassified AF37 6AT,0.0026
Ruminococcus Unclassified AF41 9,0.0027
Ruminococcus Unclassified AM12 48,0.0
Ruminococcus Unclassified AM26 12LB,0.0025
Ruminococcus Unclassified AM29 12LB,0.0039
Ruminococcus Unclassified AM32 17LB,0.0019
Ruminococcus Unclassified AM34 9LB,0.0
Ruminococcus Unclassified AM40 10AC,0.0096
Ruminococcus Unclassified OF03 6AA,0.0084
Ruminococcus Unclassified OM02 16LB,0.0038
Ruminococcus bicirculans,0.0004
Ruminococcus gauvreauii,4.6667
Ruminococcus gnavus,0.022
Ruminococcus lactaris,0.0
Ruminococcus torques,0.0
Ruthenibacterium lactatiformans,0.0027
Salinicoccus cyprini,0.0
Salmonella enterica,0.0
