genus,SRR11487939
Aeromonas,0.0152
Akkermansia,4.8901
Aliidongia,0.0
Alistipes,5.342
Anaerobutyricum,3.3792
Anaeromassilibacillus,0.0
Anaerostipes,3.1238
Anaerotruncus,0.0
Anaplasma,0.0
Arcobacter,0.0
Aspergillus,0.0
Atlantibacter,0.0
Bacteroides,10.439
Bifidobacterium,17.994
Blautia,4.4143
Butyricicoccus,0.0019
Butyrivibrio,0.0
Campylobacter,0.0023
Citrobacter,0.0002
Cladonia,0.0
Clostridioides,0.0003
Clostridium,0.7238
Collinsella,5.2792
Coprococcus,0.0102
Dorea,0.0228
Dysosmobacter,0.0066
Enterobacter,0.015
Enterocloster,0.0064
Enterococcus,0.0438
Escherichia,4.5807
Eubacterium,0.0
Faecalibacterium,3.6342000000000003
Faecalicatena,0.0
Flavobacterium,0.0
Fusicatenibacter,0.0014
Herbaspirillum,0.0
Holdemanella,0.0
Hungatella,0.0022
Intestinirhabdus,0.0063
Klebsiella,0.0213
Kluyvera,0.0
Lachnoanaerobaculum,0.0042
Lachnoclostridium,0.0012
Lachnospira,0.0
Lacrimispora,0.004
Lactobacillus,3.1314
Ligilactobacillus,0.0
Listeria,0.0004
Massiliimalia,0.0011
Massospora,0.0008
Mycolicibacterium,0.0
Novisyntrophococcus,0.0068
Odoribacter,0.0008
Parabacteroides,4.7291
Paraclostridium,0.0126
Phocaeicola,0.013300000000000001
Prevotella,11.7888
Prosthecobacter,0.006
Pseudoflavonifractor,0.0
Raoultella,0.0
Roseburia,8.6608
Ruminococcus,4.7425
Ruthenibacterium,0.0027
Salinicoccus,0.0
Salmonella,0.0
Saturnispora,0.0033
Schaalia,0.0002
Shigella,0.0378
Staphylococcus,0.0002
Streptococcus,0.0002
Streptomyces,0.0
Trabulsiella,0.0
