genus,SRR11487941
Aeromonas,0.0
Akkermansia,4.9469
Aliidongia,0.0
Alistipes,5.3047
Anaerobutyricum,3.4779
Anaeromassilibacillus,0.003
Anaerostipes,3.1771
Anaerotruncus,0.0464
Anaplasma,0.0
Arcobacter,0.0
Aspergillus,0.0
Atlantibacter,0.0
Bacteroides,10.6333
Bifidobacterium,17.8614
Blautia,4.6726
Butyricicoccus,0.0
Butyrivibrio,0.0
Campylobacter,0.0003
Citrobacter,0.0
Cladonia,0.0
Clostridioides,0.0007
Clostridium,0.8245
Collinsella,5.2104
Coprococcus,0.005900000000000001
Dorea,0.026799999999999997
Dysosmobacter,0.0104
Enterobacter,0.017
Enterocloster,0.0
Enterococcus,0.0005
Escherichia,5.0104
Eubacterium,0.0014
Faecalibacterium,3.6151
Faecalicatena,0.0
Flavobacterium,0.0
Fusicatenibacter,0.0
Herbaspirillum,0.0
Holdemanella,0.0009
Hungatella,0.0066
Intestinirhabdus,0.0
Klebsiella,0.0082
Kluyvera,0.0097
Lachnoanaerobaculum,0.0
Lachnoclostridium,0.0004
Lachnospira,0.0
Lacrimispora,0.003
Lactobacillus,3.2149
Ligilactobacillus,0.0
Listeria,0.0
Massiliimalia,0.0027
Massospora,0.0
Mycolicibacterium,0.0
Novisyntrophococcus,0.0047
Odoribacter,0.0
Parabacteroides,4.904999999999999
Paraclostridium,0.0
Phocaeicola,0.0233
Prevotella,11.822899999999999
Prosthecobacter,0.0
Pseudoflavonifractor,0.0
Raoultella,0.0015
Roseburia,8.5288
Ruminococcus,4.6128
Ruthenibacterium,0.0
Salinicoccus,0.0003
Salmonella,0.0094
Saturnispora,0.0
Schaalia,0.0
Shigella,0.015
Staphylococcus,0.0003
Streptococcus,0.0
Streptomyces,0.0
Trabulsiella,0.0
