Genus,Count
Unclassified,0.002698533631806688
Halomonas,0.10647464643910687
Pistricoccus,0.00013334004657582823
Cobetia,4.120535623446288e-05
Kushneria,4.962267458029342e-05
Chromohalobacter,6.478600257512894e-05
Salinicola,4.795136588346786e-05
Halotalea,2.0177254085312205e-05
Zymobacter,1.5072165702281405e-05
Candidatus_Carsonella,4.861988936219809e-07
Candidatus_Portiera,1.823245851082428e-07
Marinomonas,0.00010085312050199589
Marinobacterium,0.0001892833067732074
Nitrincola,0.00016147880754420037
Thalassolituus,0.00011717393336289737
Neptunomonas,5.8009605495272587e-05
Bacterioplanes,6.375282992618223e-05
Amphritea,2.5707766500262234e-05
Bermanella,1.3188144989496229e-05
Alcanivorax,5.4020169930642225e-05
Ketobacter,3.913901093656945e-05
Kangiella,7.820509203909561e-05
Saccharospirillum,4.473029821322224e-05
Gynuella,9.420103563925877e-06
Reinekea,8.204606329870926e-06
Hahella,2.0947069000213676e-05
Spartinivicinus,2.6740939149208943e-05
Oleiphilus,4.4487198766411245e-05
Endozoicomonas,1.2823495819279743e-05
Litoricola,4.497339766003323e-06
Marinobacter,0.11687361776017445
Alteromonas,8.010126772422134e-05
Hydrocarboniclastica,0.00016670544565063666
Salinimonas,5.846541695804319e-05
Paraglaciecola,4.380652031534047e-05
Lacimicrobium,6.758164621345533e-05
Saliniradius,2.9111158755616102e-05
Glaciecola,1.5031649127812907e-05
Catenovulum,1.4910099404407412e-05
Agarivorans,2.917193361731885e-06
Pseudoalteromonas,7.718407436248946e-05
Flocculibacter,4.734361726644038e-05
Psychrosphaera,7.414533127735207e-06
Shewanella,4.8628893045413304e-05
Parashewanella,4.7525941851548626e-05
Colwellia,9.356627597258565e-05
Thalassotalea,3.393668277481426e-05
Litorilituus,1.0453276212872588e-05
Moritella,8.814380775621826e-05
Psychromonas,0.00014646741670362173
Idiomarina,4.102303164935463e-05
Ferrimonas,5.9599881043161146e-05
Psychrobacter,0.029287189766156903
Acinetobacter,0.000256546897877085
Moraxella,0.000869019747487588
Aquirhabdus,9.948844860739782e-05
Pseudomonas,6.815860223388675e-05
Oblitimonas,0.00010319571517126543
Entomomonas,5.3036195979264404e-05
Azotobacter,3.394276026098453e-05
Permianibacter,6.059253711763936e-05
Citrobacter,4.6885779974946354e-05
Escherichia,0.00011283865989476805
Klebsiella,5.233728506968281e-05
Enterobacter,2.2087321167398557e-05
Salmonella,0.00011393260740541751
Leclercia,4.185362142595885e-05
Raoultella,3.478753083865272e-05
Cedecea,3.3730048245024916e-05
Cronobacter,2.1344131430004955e-05
Lelliottia,2.990123195775182e-05
Candidatus_Hoaglandella,2.248669883001661e-05
Candidatus_Gullanella,9.116229255412141e-07
Candidatus_Hamiltonella,6.07748617027476e-07
secondary_endosymbiont_of_Heteropsylla_cubana,1.2154972340549521e-07
secondary_endosymbiont_of_Ctenarytaina_eucalypti,1.2154972340549521e-07
Candidatus_Blochmannia,3.342617393651118e-07
secondary_endosymbiont_of_Trabutina_mannipara,8.508480638384664e-07
Candidatus_Doolittlea,1.2154972340549521e-07
Candidatus_Mikella,1.2154972340549521e-07
Candidatus_Purcelliella,6.077486170274761e-08
Candidatus_Annandia,6.077486170274761e-08
Pseudescherichia,2.060267811723144e-05
Pluralibacter,1.1101541404368561e-05
Kosakonia,4.497339766003323e-06
Scandinavium,1.3795893606523705e-05
Enterobacteriaceae_endosymbiont_of_Donacia_bicoloricornis,7.657632574546197e-06
Enterobacteriaceae_endosymbiont_of_Macroplea_appendiculata,5.469737553247284e-06
Enterobacteriaceae_endosymbiont_of_Plateumaris_sericea,1.8232458510824281e-06
Enterobacteriaceae_endosymbiont_of_Plateumaris_consimilis,1.3370469574604472e-06
Enterobacteriaceae_endosymbiont_of_Plateumaris_pusilla,1.2154972340549521e-07
Enterobacteriaceae_endosymbiont_of_Plateumaris_braccata,1.2154972340549521e-07
Enterobacteriaceae_endosymbiont_of_Neohaemonia_nigricornis,1.2154972340549521e-07
Enterobacteriaceae_endosymbiont_of_Donacia_marginata,1.2154972340549521e-07
Enterobacteriaceae_endosymbiont_of_Donacia_provostii,1.2154972340549521e-07
Shigella,3.119776234074377e-06
Buttiauxella,2.7146104893893925e-06
Candidatus_Riesia,4.0111408723813415e-06
Shimwellia,3.828816287273099e-06
Atlantibacter,3.0995179468401277e-06
Kluyvera,1.9447955744879234e-06
Phytobacter,1.3370469574604472e-06
Candidatus_Profftia,1.2762720957576996e-06
Yokenella,3.646491702164856e-07
Candidatus_Ishikawaella,6.077486170274761e-08
Serratia,4.3303410155853375e-05
Yersinia,4.193465457489584e-05
Ewingella,4.424409931960025e-05
Rahnella,1.2568241400128205e-05
Chania,1.5983788627822618e-05
Candidatus_Fukatsuia,7.657632574546197e-06
Rouxiella,6.016711308572013e-06
Gibbsiella,4.6796643511115655e-06
