Genus,RA
Pseudomonas,0.0732
Parabacteroides,0.0722
Bifidobacterium,0.0675
Bacteroides,0.0642
Enterocloster,0.0594
Mediterraneibacter,0.048
Anaerostipes,0.043
Blautia,0.0418
Akkermansia,0.0408
Bacillus,0.0398
Streptococcus,0.035699999999999996
Cutibacterium,0.034
Staphylococcus,0.031
Flavonifractor,0.0298
Collinsella,0.0275
Megamonas,0.022799999999999997
Lactobacillus,0.0195
Escherichia,0.0189
Megasphaera,0.009399999999999999
Lachnoclostridium,0.0043
Clostridioides,0.0011
Coprococcus,0.0009
Oscillibacter,0.0007000000000000001
Roseburia,0.0007000000000000001
Dysosmobacter,0.0006
Faecalibacterium,0.0005
Anaerobutyricum,0.0003
Lacrimispora,0.0002
Eubacterium,0.0002
Clostridium,0.0002
Paenibacillus,0.0002
Longicatena,0.0002
Citrobacter,0.0002
Faecalibacillus,0.0002
Ruthenibacterium,0.0002
Faecalicatena,0.0001
Aminipila,0.0001
Flintibacter,0.0001
Intestinimonas,0.0001
Salmonella,0.0001
Olsenella,0.0001
Enterobacter,0.0001
Caproiciproducens,0.0001
Selenomonas,0.0001
Amedibacterium,0.0001
Hungatella,0.0001
Campylobacter,0.0001
Shigella,0.0001
Erysipelatoclostridium,0.0001
Acidaminococcus,0.0001
Massilistercora,0.0001
Enterococcus,0.0001
Streptomyces,0.0001
Klebsiella,0.0001
Advenella,0.0
Paenalcaligenes,0.0
Duganella,0.0
Pusillimonas,0.0
Glaciimonas,0.0
Sutterella,0.0
Roseateles,0.0
Sphaerotilus,0.0
Thiomonas,0.0
Xylophilus,0.0
Oxalobacter,0.0
Undibacterium,0.0
Castellaniella,0.0
Herbaspirillum,0.0
Collimonas,0.0
Janthinobacterium,0.0
Massilia,0.0
Taylorella,0.0
Algicoccus,0.0
Pigmentiphaga,0.0
Limnohabitans,0.0
Orrella,0.0
Diaphorobacter,0.0
Paraburkholderia,0.0
Polynucleobacter,0.0
Cupriavidus,0.0
Pandoraea,0.0
Ralstonia,0.0
Caballeronia,0.0
Hydrogenophaga,0.0
Variovorax,0.0
Serpentinomonas,0.0
Comamonas,0.0
Melaminivora,0.0
Achromobacter,0.0
Ottowia,0.0
Acidovorax,0.0
Alicycliphilus,0.0
Kinneretia,0.0
Rhodoferax,0.0
Polaromonas,0.0
Delftia,0.0
Eikenella,0.0
Alcaligenes,0.0
Bordetella,0.0
Neisseria,0.0
Methylotenera,0.0
Conchiformibius,0.0
Desulfurivibrio,0.0
Archangium,0.0
Cystobacter,0.0
Myxococcus,0.0
Corallococcus,0.0
Desulfopila,0.0
Desulfocapsa,0.0
Desulfobulbus,0.0
Labilithrix,0.0
Desulfobacter,0.0
Desulfatibacillum,0.0
Desulfobacterium,0.0
Desulfobacula,0.0
Desulfonema,0.0
Desulfosarcina,0.0
Sorangium,0.0
Sandaracinus,0.0
Jeongeupia,0.0
Halarcobacter,0.0
Sulfurimonas,0.0
Helicobacter,0.0
Sulfurospirillum,0.0
Aliarcobacter,0.0
Pseudoarcobacter,0.0
Malaciobacter,0.0
Arcobacter,0.0
Haliangium,0.0
Desulfarculus,0.0
Persicimonas,0.0
Desulfobacca,0.0
Syntrophus,0.0
Desulfoglaeba,0.0
Syntrophobacter,0.0
Desulfococcus,0.0
Syntrophotalea,0.0
Pelobacter,0.0
Thauera,0.0
Candidatus Methylopumilus,0.0
Hyphomonas,0.0
Dechloromonas,0.0
Rugosibacter,0.0
Aromatoleum,0.0
Azospira,0.0
Azoarcus,0.0
Desulfuromonas,0.0
Vogesella,0.0
Paludibacterium,0.0
Chitinibacter,0.0
Pseudogulbenkiania,0.0
Aquitalea,0.0
Chromobacterium,0.0
Methylovorus,0.0
Nitrosospira,0.0
Nitrosomonas,0.0
Sulfuriferula,0.0
Sulfuritortus,0.0
Candidatus Accumulibacter,0.0
Casimicrobium,0.0
Desulfovibrio,0.0
Pseudodesulfovibrio,0.0
Lawsonia,0.0
Desulfolutivibrio,0.0
Desulfocurvibacter,0.0
Maridesulfovibrio,0.0
Desulfomicrobium,0.0
Desulfohalobium,0.0
Geobacter,0.0
Geoalkalibacter,0.0
Burkholderia,0.0
