Species,RA
Pseudomonas putida,0.0709
Parabacteroides distasonis,0.0616
Bifidobacterium longum,0.0613
Enterocloster clostridioformis,0.0572
Bacteroides uniformis,0.048
[Ruminococcus] gnavus,0.047599999999999996
Anaerostipes caccae,0.042
Akkermansia muciniphila,0.0404
Streptococcus mutans,0.0346
Cutibacterium acnes,0.0338
Flavonifractor plautii,0.0298
Staphylococcus epidermidis,0.028900000000000002
Collinsella aerofaciens,0.0275
Blautia producta,0.0231
Megamonas funiformis,0.022400000000000003
Lactobacillus delbrueckii,0.0196
Escherichia coli,0.0167
Blautia sp. YL58,0.0146
Megasphaera elsdenii,0.008199999999999999
Bacillus subtilis,0.0034999999999999996
Lachnoclostridium sp. YL32,0.0034999999999999996
Blautia argi,0.0017000000000000001
Enterocloster bolteae,0.0016
Clostridioides difficile,0.0012
Megasphaera stantonii,0.001
Bifidobacterium breve,0.0009
Blautia sp. SC05B48,0.0007000000000000001
Anaerostipes rhamnosivorans,0.0006
Coprococcus comes,0.0005
Faecalibacterium prausnitzii,0.0005
Roseburia intestinalis,0.0005
[Clostridium] scindens,0.0005
Oscillibacter sp. PEA192,0.0004
Coprococcus catus,0.0003
Blautia obeum,0.0003
Bacillus vallismortis,0.0003
[Ruminococcus] torques,0.0003
Dysosmobacter welbionis,0.0003
Bacillus tequilensis,0.0003
Anaerobutyricum hallii,0.0003
Faecalibacillus intestinalis,0.0002
Ruthenibacterium lactatiformans,0.0002
Dysosmobacter sp. Marseille-Q4140,0.0002
Longicatena caecimuris,0.0002
Lachnoclostridium phocaeense,0.0002
Roseburia hominis,0.0002
Bifidobacterium bifidum,0.0002
Lacrimispora saccharolytica,0.0002
Blautia hansenii,0.0002
Megamonas hypermegale,0.0002
Enterococcus faecium,0.0001
Bacillus inaquosorum,0.0001
Olsenella sp. GAM18,0.0001
Clostridium perfringens,0.0001
Bacillus velezensis,0.0001
Bacillus halotolerans,0.0001
Anaerostipes hadrus,0.0001
Bacillus mojavensis,0.0001
Hungatella hathewayi,0.0001
Bacillus sp. MBGLi79,0.0001
Faecalicatena sp. Marseille-Q4148,0.0001
Escherichia sp. E4742,0.0001
Escherichia fergusonii,0.0001
Escherichia albertii,0.0001
Bifidobacterium adolescentis,0.0001
Bifidobacterium catenulatum,0.0001
Staphylococcus aureus,0.0001
Staphylococcus haemolyticus,0.0001
Amedibacterium intestinale,0.0001
Escherichia marmotae,0.0001
Eubacterium limosum,0.0001
Aminipila sp. JN-18,0.0001
[Clostridium] innocuum,0.0001
Oscillibacter sp. MM50,0.0001
Salmonella enterica,0.0001
Oscillibacter sp. MM59,0.0001
Eubacterium sp. NSJ-61,0.0001
Intestinimonas butyriciproducens,0.0001
Flintibacter sp. KGMB00164,0.0001
